workload,rob,issue_width,rob_full_events,icache_stall_cycles,fetch_misc_stall_cycles,branch_squashes,mem_order_violations,num_cycles,ipc
baseline,128,1,15.0,2033165.0,24.0,895.0,9.0,16320549.0,0.314258
baseline,128,2,1587.0,2034033.0,26.0,1538.0,16.0,11215495.0,0.457301
baseline,128,4,2708.0,2034753.0,26.0,2106.0,22.0,10176631.0,0.503984
baseline,192,1,15.0,2033060.0,24.0,923.0,9.0,16319869.0,0.314271
baseline,192,2,264.0,2034296.0,26.0,1622.0,16.0,11205207.0,0.457721
baseline,192,4,2301.0,2035644.0,26.0,2478.0,22.0,10164337.0,0.504593
baseline,32,1,664.0,2032384.0,25.0,786.0,8.0,16350254.0,0.313687
baseline,32,2,1001359.0,2032795.0,25.0,1093.0,14.0,11248011.0,0.455979
baseline,32,4,2011916.0,2033752.0,16.0,1816.0,19.0,10205042.0,0.50258
baseline,64,1,635.0,2032743.0,26.0,909.0,8.0,16330374.0,0.314068
baseline,64,2,1001345.0,2033423.0,26.0,1252.0,15.0,11235415.0,0.45649
baseline,64,4,2002449.0,2034407.0,26.0,1818.0,20.0,10188781.0,0.503383
branch,128,1,13.0,7735901.0,14.0,993.0,13.0,91889157.0,0.544345
branch,128,2,1606.0,7267352.0,13.0,355106.0,29.0,53739650.0,0.930773
branch,128,4,2727.0,9822697.0,13.0,2000197.0,89.0,42658442.0,1.172556
branch,192,1,11.0,7735992.0,14.0,1037.0,13.0,91887729.0,0.544354
branch,192,2,275.0,7267468.0,13.0,355157.0,25.0,53728585.0,0.930965
branch,192,4,2315.0,9771743.0,13.0,1969546.0,97.0,42241364.0,1.184134
branch,32,1,673.0,7735538.0,14.0,945.0,11.0,91918208.0,0.544173
branch,32,2,1386.0,7266740.0,13.0,354693.0,21.0,53772918.0,0.930197
branch,32,4,5480253.0,9337257.0,13.0,1575135.0,49.0,41495122.0,1.205429
branch,64,1,642.0,7736219.0,14.0,1061.0,12.0,91897986.0,0.544293
branch,64,2,1405.0,7266838.0,13.0,354847.0,22.0,53759420.0,0.930431
branch,64,4,3837.0,8985794.0,13.0,1311148.0,77.0,37764364.0,1.324514
compute,128,1,12.0,720857.0,12.0,953.0,12.0,11014832.0,0.610537
compute,128,2,1598.0,739892.0,13.0,8920.0,27.0,6811652.0,0.987274
compute,128,4,2731.0,741560.0,13.0,9533.0,38.0,6446606.0,1.043179
compute,192,1,16.0,721089.0,12.0,992.0,12.0,11013397.0,0.610617
compute,192,2,282.0,739882.0,13.0,8997.0,28.0,6801414.0,0.98876
compute,192,4,2305.0,741524.0,13.0,9900.0,38.0,6434697.0,1.04511
compute,32,1,670.0,720422.0,14.0,867.0,11.0,11043449.0,0.608955
compute,32,2,431321.0,731623.0,16.0,4868.0,25.0,6851876.0,0.981478
compute,32,4,1680345.0,733103.0,13.0,5649.0,33.0,6528358.0,1.030116
compute,64,1,637.0,720559.0,14.0,999.0,10.0,11023200.0,0.610074
compute,64,2,379347.0,742792.0,13.0,8636.0,26.0,6839342.0,0.983276
compute,64,4,1592946.0,744438.0,13.0,9257.0,32.0,6469598.0,1.039472
matmul,64,2,1001345.0,2033423.0,26.0,1252.0,15.0,11235415.0,0.45649
memory,128,1,22.0,233985.0,14.0,1239.0,32.0,131000106.0,0.09137
memory,128,2,1691.0,234518.0,13.0,2047.0,30.0,130049438.0,0.092038
memory,128,4,3344.0,235567.0,13.0,2698.0,46.0,129709827.0,0.092279
memory,192,1,19.0,234058.0,14.0,1311.0,34.0,130988933.0,0.091377
memory,192,2,327.0,234436.0,13.0,2188.0,31.0,130078043.0,0.092017
memory,192,4,2350.0,236103.0,13.0,3175.0,45.0,129693770.0,0.09229
memory,32,1,1079911.0,233143.0,14.0,1009.0,23.0,131022211.0,0.091354
memory,32,2,3503420.0,233789.0,15.0,1384.0,29.0,130088905.0,0.09201
memory,32,4,4939144.0,234703.0,13.0,2216.0,40.0,129858069.0,0.092173
memory,64,1,1079089.0,233649.0,14.0,1184.0,24.0,131000436.0,0.091369
memory,64,2,3502028.0,234129.0,13.0,1619.0,30.0,130068538.0,0.092024
memory,64,4,4765098.0,235045.0,13.0,2447.0,116.0,129728860.0,0.092265
